 Procedimentos hospitalares do SUS - por local de internação - Brasil
Internações por Unidade da Federação e Ano/mês processamento
Período:Jun/2025-Jun/2026
"Unidade da Federação";"2025/Jun";"2025/Jul";"2025/Ago";"2025/Set";"2025/Out";"2025/Nov";"2025/Dez";"2026/Jan";"2026/Fev";"2026/Mar";"2026/Abr";"2026/Mai";"2026/Jun";"Total"
"11 Rondônia";11235;12611;12372;12259;12766;12159;11457;11446;11313;13252;12323;10613;8456;152262
"12 Acre";5972;5104;5091;5047;5561;4604;4527;4774;4479;5088;4951;5328;-;60526
"13 Amazonas";22515;24613;24408;23100;25113;21821;21542;21748;20400;23276;23389;22716;19563;294204
"14 Roraima";2935;3003;3193;2738;2346;2740;2128;2597;2961;3082;3013;352;-;31088
"15 Pará";48859;49639;50660;49448;50058;48679;48817;47347;45674;50992;49732;47075;40278;627258
"16 Amapá";5312;5059;4957;4792;4903;4195;4900;4938;4640;5420;5563;5849;5777;66305
"17 Tocantins";9711;9478;9466;9104;9302;8338;7768;8884;9024;9574;9168;10204;845;110866
"21 Maranhão";43754;43818;42433;43286;42716;41621;39756;40639;38145;42301;39803;38009;32513;528794
"22 Piauí";19176;19376;18838;17236;19901;18019;18898;19532;17915;18124;17554;18752;16825;240146
"23 Ceará";49979;50415;49700;52713;51838;49379;48118;48639;46204;52608;49256;53277;52820;654946
"24 Rio Grande do Norte";19217;20144;19300;18852;18285;18062;17610;17740;16589;18608;18211;18415;18243;239276
"25 Paraíba";22110;22607;23004;22230;22942;20384;19040;20646;19393;22978;21924;20927;21148;279333
"26 Pernambuco";54899;57532;58554;58199;58050;55041;55619;51854;51040;58126;56845;58242;53956;727957
"27 Alagoas";13397;16985;14853;14854;15414;14415;13881;14178;13588;15221;15485;15848;15165;193284
"28 Sergipe";9351;10547;10601;11191;10986;10306;10340;10224;10654;11258;10880;10398;10082;136818
"29 Bahia";78751;84590;84785;85885;82214;79921;76874;77927;78348;83863;81917;80920;75897;1051892
"31 Minas Gerais";135730;140319;138518;137908;138731;129110;127408;131212;127812;139174;134190;132619;102250;1714981
"32 Espírito Santo";27998;27495;27594;26735;28059;25978;25555;24808;25226;26229;25671;26308;26444;344100
"33 Rio de Janeiro";77401;80091;78569;79781;80452;76622;75585;72945;72023;81036;77645;79434;79051;1010635
"35 São Paulo";240714;250198;248537;246468;252197;235148;226245;233346;226442;251067;246296;252977;245252;3154887
"41 Paraná";92659;94369;92545;93028;94624;90416;88172;92275;88528;93381;84116;98140;92652;1194905
"42 Santa Catarina";57240;60154;60089;59165;61284;58436;55009;56756;53796;58579;58378;58680;59062;756628
"43 Rio Grande do Sul";71256;74650;73905;75164;75458;73454;70504;69652;67798;73469;74654;74216;75588;949768
"50 Mato Grosso do Sul";17540;18135;17969;18261;17287;16509;16041;17443;16691;16986;17493;17312;16619;224286
"51 Mato Grosso";23146;21737;23205;22801;22241;21127;20485;21239;20513;22955;22749;22743;20372;285313
"52 Goiás";38680;39027;38432;37524;38086;37365;36328;36103;36122;39077;38081;38635;35857;489317
"53 Distrito Federal";21036;21519;20462;20804;20768;19739;20315;19494;18277;20350;19691;21463;21123;265041
"Total";1220573;1263215;1252040;1248573;1261582;1193588;1162922;1178386;1143595;1256074;1218978;1239452;1145838;15784816
 Fonte: Ministério da Saúde - Sistema de Informações Hospitalares do SUS (SIH/SUS)
 Notas:
 
 Dados referentes aos últimos seis meses, sujeitos a  atualização.
 A partir do processamento de junho de 2012, houve mudança na classificação da natureza e esfera dos estabelecimentos. Com isso, temos que:
      
      Até maio de 2012 estas informações estão disponíveis como "Natureza" e "Esfera Administrativa".
      De junho de 2012 a outubro de 2015, estão disponíveis tanto como "Natureza" e "Esfera Administrativa", como "Natureza Jurídica" e "Esfera Jurídica".
      A partir de novembro de 2015, estão disponíveis como "Natureza Jurídica" e "Esfera Jurídica".
      
 
